,City,Province,City_ID,Population 2021,Land Area (sqKM),Median_Income($),Unemployment_rate(%),Vehicles_sold_since_2017,Number_of_stations
422,Bruce Mines,Ontario,2021A00053557021,582.0,6.09,41200.0,9.4,0.0,0.0
424,Bruno,Saskatchewan,2021A00054715012,604.0,0.94,42400.0,7.0,1.0,0.0
425,Buchanan,Saskatchewan,2021A00054709053,237.0,1.13,42400.0,7.0,0.0,0.0
426,Buchanan No. 304,Saskatchewan,2021A00054709049,330.0,708.27,42400.0,7.0,0.0,0.0
427,Buckland No. 491,Saskatchewan,2021A00054715094,3277.0,787.35,42400.0,7.0,0.0,0.0
428,Bucktum 4,British Columbia,2021A00055909847,5.0,0.38,40800.0,7.4,0.0,0.0
429,Buena Vista,Saskatchewan,2021A00054706055,646.0,3.63,42400.0,7.0,2.0,0.0
430,Buffalo Narrows,Saskatchewan,2021A00054718070,1014.0,68.04,42400.0,7.0,1.0,0.0
431,Buffalo No. 409,Saskatchewan,2021A00054713068,420.0,1204.97,42400.0,7.0,0.0,0.0
432,Buffalo Point 36,Manitoba,2021A00054601070,219.0,16.6,39200.0,7.6,0.0,0.0
434,Bulkley River 19,British Columbia,2021A00055949820,174.0,2.23,40800.0,7.4,0.0,0.0
435,Bulkley-Nechako A,British Columbia,2021A00055951051,5587.0,3674.43,40800.0,7.4,10.0,0.0
436,Bulkley-Nechako B,British Columbia,2021A00055951028,1706.0,3624.72,40800.0,7.4,1.0,0.0
437,Bulkley-Nechako C,British Columbia,2021A00055951015,1266.0,25527.99,40800.0,7.4,6.0,0.0
438,Bulkley-Nechako D,British Columbia,2021A00055951017,1607.0,4389.75,40800.0,7.4,0.0,0.0
439,Bulkley-Nechako E,British Columbia,2021A00055951031,1512.0,15856.11,40800.0,7.4,1.0,0.0
440,Bulkley-Nechako F,British Columbia,2021A00055951019,3517.0,5386.26,40800.0,7.4,3.0,0.0
441,Bulkley-Nechako G,British Columbia,2021A00055951053,836.0,14417.38,40800.0,7.4,0.0,0.0
442,Bulyea,Saskatchewan,2021A00054706073,121.0,1.26,42400.0,7.0,0.0,0.0
443,Burk's Falls,Ontario,2021A00053549022,957.0,3.09,41200.0,9.4,0.0,0.0
444,Burlington,Ontario,2021A00053524002,186948.0,186.12,41200.0,9.4,1744.0,59.0
503,Burnaby,British Columbia,2021A00055915025,249125.0,90.57,40800.0,7.4,4454.0,71.0
574,Burns Lake,British Columbia,2021A00055951022,1659.0,6.54,40800.0,7.4,0.0,1.0
575,Burns Lake 18,British Columbia,2021A00055951815,33.0,0.56,40800.0,7.4,0.0,0.0
576,Burpee and Mills,Ontario,2021A00053551028,382.0,217.33,41200.0,9.4,0.0,0.0
577,Burrard Inlet 3,British Columbia,2021A00055915806,2373.0,1.12,40800.0,7.4,45.0,0.0
578,Burstall,Saskatchewan,2021A00054708062,302.0,1.09,42400.0,7.0,0.0,0.0
580,Cabri,Saskatchewan,2021A00054708032,413.0,1.36,42400.0,7.0,0.0,0.0
581,Cache Creek,British Columbia,2021A00055933024,969.0,10.4,40800.0,7.4,4.0,5.0
586,Cadillac,Saskatchewan,2021A00054704029,116.0,1.16,42400.0,7.0,0.0,0.0
589,Calder,Saskatchewan,2021A00054709002,81.0,0.75,42400.0,7.0,0.0,0.0
590,Calder No. 241,Saskatchewan,2021A00054709001,344.0,790.93,42400.0,7.0,0.0,0.0
591,Caledon,Ontario,2021A00053521024,76581.0,688.82,41200.0,9.4,621.0,6.0
597,Caledonia No. 99,Saskatchewan,2021A00054702066,225.0,846.76,42400.0,7.0,0.0,0.0
